,Week,score,Type,margin,teamName,weeklyRank,weeklyWin
138,5.0,131.8,Regular,26.580000000000013,Team Burtwistle,11.0,1
139,6.0,124.72,Regular,12.819999999999993,Team Burtwistle,12.0,1
140,8.0,105.98,Regular,8.14,Team Burtwistle,8.0,1
141,10.0,98.5,Regular,-1.1400000000000006,Team Burtwistle,8.0,0
142,2.0,138.8,Regular,25.040000000000006,Run It Back,9.0,1
143,3.0,99.48,Regular,-27.61999999999999,Run It Back,4.0,0
144,5.0,92.24,Regular,-15.16000000000001,Run It Back,4.0,0
145,7.0,104.6,Regular,-16.36,Run It Back,4.0,0
146,9.0,96.94,Regular,-26.400000000000006,Run It Back,7.0,0
147,11.0,115.04,Regular,42.92,Run It Back,10.0,1
148,12.0,111.94,Regular,-28.379999999999995,Run It Back,6.0,0
151,1.0,153.34,Regular,30.52000000000001,Run It Back,12.0,1
152,4.0,135.38,Regular,53.959999999999994,Run It Back,10.0,1
153,6.0,75.32,Regular,-39.7,Run It Back,2.0,0
154,8.0,103.02,Regular,12.959999999999994,Run It Back,7.0,1
155,10.0,80.78,Regular,-15.179999999999993,Run It Back,2.0,0
156,13.0,119.26,Regular,-30.08,Run It Back,7.0,0
157,14.0,108.12,Regular,49.400000000000006,Run It Back,5.0,1
158,3.0,148.8,Regular,30.320000000000007,Team Hansen,12.0,1
159,6.0,82.1,Regular,-30.580000000000013,Team Hansen,3.0,0
160,8.0,97.84,Regular,-8.14,Team Hansen,6.0,0
161,10.0,95.32,Regular,-21.74000000000001,Team Hansen,6.0,0
162,13.0,93.02,Regular,-2.0200000000000102,Team Hansen,5.0,0
163,1.0,88.74,Regular,6.839999999999989,Team Hansen,3.0,1
164,2.0,140.48,Regular,3.9799999999999898,Team Hansen,11.0,1
165,4.0,94.44,Regular,-4.480000000000004,Team Hansen,4.0,0
166,5.0,88.0,Regular,-24.560000000000002,Team Hansen,3.0,0
167,7.0,70.4,Regular,-57.66,Team Hansen,2.0,0
168,9.0,93.18,Regular,62.78000000000001,Team Hansen,6.0,1
169,11.0,72.12,Regular,-42.92,Team Hansen,1.0,0
170,12.0,113.48,Regular,8.680000000000007,Team Hansen,7.0,1
171,14.0,117.92,Regular,13.320000000000007,Team Hansen,8.0,1
174,3.0,138.2,Regular,42.079999999999984,Team Benak,11.0,1
175,7.0,117.12,Regular,-26.25999999999999,Team Benak,6.0,0
176,9.0,84.2,Regular,2.180000000000007,Team Benak,3.0,1
177,11.0,102.88,Regular,29.959999999999994,Team Benak,7.0,1
178,12.0,104.8,Regular,-8.680000000000007,Team Benak,5.0,0
179,14.0,97.14,Regular,-0.4399999999999977,Team Benak,2.0,0
182,1.0,114.88,Regular,58.98,Team Benak,7.0,1
183,2.0,116.22,Regular,-41.81999999999999,Team Benak,6.0,0
184,4.0,125.9,Regular,16.38000000000001,Team Benak,9.0,1
185,5.0,107.4,Regular,15.16000000000001,Team Benak,7.0,1
186,6.0,112.68,Regular,30.580000000000013,Team Benak,8.0,1
187,8.0,117.74,Regular,21.879999999999995,Team Benak,10.0,1
188,10.0,84.12,Regular,-14.5,Team Benak,3.0,0
189,13.0,120.82,Regular,47.459999999999994,Team Benak,8.0,1
